gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
HJ U007C,14291,U+14291,U7C,U7C,U-02-011,"A hoe without a rope connecting the two pieces (U8), written at an angle, on top of a strip of land (N17).",Classifier hacking,C
U007E,14292,U+14292,,,U-02-012,"A hoe with a rope connecting the two pieces, written at an angle (U6), on top of a strip of land, with three grains of sand written beneath it (N16).",Logogram (to hack the land),C
HJ U007A,14293,U+14293,U7A,U7A,U-02-013,"A hoe without a rope connecting the two pieces (U8), written at an angle, on top of a circle.",Classifier hacking,C
HJ U007D,14294,U+14294,U7D,U7D,U-02-016,"A hoe with a rope connecting the two pieces, with the frontal sections of the pieces crossing each other.",Phonemogram,C
HJ U052,14295,U+14295,U52,U52,U-03-012,,,
HJ U050A,14296,U+14296,U50A,U50A,U-03-014,"A half-round vessel on its side, with three forward, downward lines of grain coming from the front.","Classifier harvest, crop",C
U050B,14297,U+14297,,,U-03-016,"A half-round vessel on its side, with a forward, downward line of grain coming from the front.",Classifier grain/barley,C
HJ U055A,14298,U+14298,U55A,U55A,U-03-019,"A grain measure, resembling a horizontal stick, with a bulb at the front, with a vertical line on top of the horizontal stick, with an upward stroke behind the vertical line.",Classifier grain,C
U054B,14299,U+14299,,,U-03-022,"A grain measure, resembling a horizontal stick, with a downward hanging bulb at the front, with a vertical line on top of the horizontal stick, with an upward stroke behind the vertical line.",Classifier grain,C
HJ U054,1429A,U+1429A,U54,U54,U-03-027,"A grain measure, resembling a horizontal stick, with a downward hanging bulb at the front, with a rectangle on top, with an upward stroke behind the rectangle.",Classifier grain,C
HJ U055,1429B,U+1429B,U55,U55,U-03-029,,,
HJ U013A,1429C,U+1429C,U13A,U13A,U-05-001,"A plough, with a crossbar and two vertical lines on the long beam, without a circle at the front of the long beam.",Phonemogram,C
HJ U013C,1429D,U+1429D,U13C,U13C,U-05-002,"A plough, with a crossbar and two vertical lines on the long beam, with the long beam curving upwards at the front.",Phono-repeater,C
HJ U014A,1429E,U+1429E,U14A,U14A,U-05-007,,,
HJ U013B,1429F,U+1429F,U13B,U13B,U-05-011,"A plough with a crossbar, with two vertical lines on the tip of the top beam.",Phono-repeater,C
HJ U058,142A0,U+142A0,U58,U58,U-05-012,,,
HJ U013D,142A1,U+142A1,U13D,U13D,U-05-015,"A plough, without a crossbar and two vertical lines on the end of the long beam.",Logogram (fruit),C
HJ U117,142A2,U+142A2,U117,U117,U-05-017,"A hoe without a rope connecting the two pieces, with a downward, backward line of grains coming from the bottom piece.",Logogram (fruit),C
U015B,142A3,U+142A3,,,U-06-002,A sledge with two ties on top.,Phonemogram,C
HJ U015A,142A4,U+142A4,U15A,U15A,U-06-003,"A sledge, with a broad downward loop at the front, with two forward angled lines on top of the loop.",Phonemogram,C
HJ U016A,142A5,U+142A5,U16A,U16A,U-06-006,,,
HJ U016D,142A6,U+142A6,U16D,U16D,U-06-008,"A sledge, with the head of a canine at the front, with a half-circle on the sledge.",Phonemogram,C
HJ U122,142A7,U+142A7,U122,U122,U-06-015,"A rectangular coffin with a rounded lid, and upstanding sides, with a three-by-three block internal decoration, on top of a sledge.",Classifier burial,C
U140,142A8,U+142A8,,,U-06-017,"The sun, within a halo (N5), on top of a sledge (U15).",Logogram (Re-Atoum),C
U017A,142A9,U+142A9,,,U-07-004,"A hoe or pick excavating a rectangular pool, with the handle angling upwards, with the handle towards the front.","Logogram (to found, to establish, to hunt, to lay (a trap))",C
HJ U119,142AA,U+142AA,U119,U119,U-07-007,"A hoe or pick excavating a rectangular pool, resembling the sky (N1), with the handle angling upwards, with the handle towards the back.","Logogram (to found, to establish, to hunt, to lay (a trap))",C
HJ U019A,142AB,U+142AB,U19A,U19A,U-08-002,An adze with an attached blade at the front.,"Classifier claw, nail",C
U134,142AC,U+142AC,,,U-08-005,An adze with a triangular blade at the front.,Phonemogram,C
U020A,142AD,U+142AD,,,U-08-008,"An adze without the downward curve at the end of the handle, with three blades.",Logogram (nail),
HJ U021A,142AE,U+142AE,U21A,U21A,U-08-014,"An adze, with an attached blade at the front, in a piece of wood, with the end handle below the wood.",Phonemogram,C
HJ U064,142AF,U+142AF,U64,U64,U-08-024,"An adze with an attached blade at the front, with multiple horizontal lines.","Classifier claw, nail",C
HJ U065,142B0,U+142B0,U65,U65,U-08-025,"An adze, with an attached triangular blade at the front, bound at the upward piece of the handle, in a piece of wood, with the end handle ending at the height of the wood.",Phonemogram,C
HJ U022A,142B1,U+142B1,U22A,U22A,U-09-007,"A chisel with a conical handle, with a broad base and horizontal line on top, and a blade.",Phonemogram,C
HJ U024E,142B2,U+142B2,U24E,U24E,U-09-011,"A chisel with a half-circle handle, vertical line at the top and a long blade.",Phonemogram,C
HJ U127,142B3,U+142B3,U127,U127,U-09-016,"A drill for drilling holes in beads, with a rectangular handle which slopes inwards towards the drill-bit, with a vertical line as drill-bit (U27B), on top of a horizontal rectangle.",Phonemogram,C
HJ U027B,142B4,U+142B4,U27B,U27B,U-09-017,"A drill for drilling holes in beads, with a rectangular handle which slopes inwards towards the drill-bit, with a vertical line as drill-bit.",Classifier chisel,C
HJ U128,142B5,U+142B5,U128,U128,U-09-018,"A drill for drilling holes in beads, with a handle resembling an upside-down pawn, with a vertical line as drill-bit, on top of a horizontal rectangle.",Phonemogram,C
HJ U027A,142B6,U+142B6,U27A,U27A,U-09-020,,,
HJ U023B,142B7,U+142B7,U23B,U23B,U-09-021,"A hairpin or burin, with a horizontal line above and below the circle of the pin.",Phonemogram,C
HJ U023E,142B8,U+142B8,U23E,U23E,U-09-024,"A hairpin or burin, with a horizontal line under the oval of the pin, and a triangular shape on top of the oval.",Phonemogram,C
U023F,142B9,U+142B9,,,U-09-027,"A hairpin or burin, resembling a vase on a table.",Phonemogram,C
U023G,142BA,U+142BA,,,U-09-028,"A hairpin or burin, with a straight vertical line as pin, with a round head with a triangular top.",Phonemogram,C
HJ U072,142BB,U+142BB,U72,U72,U-09-040,"A drill, consisting of a upside-down conical handle which tapers out into the drill-bit.",Classifier drilling,C
HJ U025C,142BC,U+142BC,U25C,U25C,U-09-047,"A drill, with a conical handle with a dot on top, with a curl in towards the front at the handle, with a round drill-bit with a horizontal line over it.",Phonemogram,C
HJ U025B,142BD,U+142BD,U25B,U25B,U-09-048,"A drill, with a conical handle, with a curl in towards the back at the handle, with a forked drill-bit with a horizontal line over it.",Phonemogram,C
U025D,142BE,U+142BE,,,U-09-052,"A drill, with a half-circle handle, with a curl towards the front on top of the handle, with a round drill-bit with a horizontal line on top of the circle, with a forward curl coming from the horizontal line.",Logogram (to open),C
HJ U024M,142BF,U+142BF,U24M,U24M,U-09-053,"A drill, with a half-circle handle, with a curl towards the front on top of the handle, with a vertical line as drill-bit, on top of a horizontal rectangle.",Phonemogram,C
HJ U024J,142C0,U+142C0,U24J,U24J,U-09-054,,,
HJ U024K,142C1,U+142C1,U24K,U24K,U-09-056,"A drill, with a half-circle handle, with a vertical line on top, with a round drill-bit.",Logogram (to open),C
U024R,142C2,U+142C2,,,U-09-057,"A drill, with a half-circle handle, with a vertical line on top, with a forked drill-bit.",Phonemogram,C
HJ U024I,142C3,U+142C3,U24I,U24I,U-09-058,,,
HJ U024A,142C4,U+142C4,U24A,U24A,U-09-059,"A drill, with a half-circle handle, with a vertical line on top, with a curl towards the front on top of the handle, with a forked drill-bit.",Phonemogram,C
U024O,142C5,U+142C5,,,U-09-060,"A drill, with a half-circle handle, with a vertical line on top, with a curl towards the front on top of the handle, with a forked drill-bit, with a horizontal line on top of the forked drill-bit.",Logogram (craftsman),C
U142,142C6,U+142C6,,,U-09-061,"A drill, with a conical handle on a horizontal line, with a outwards curl at either side of the handle, with a forked drill-bit.",Phonemogram,C
HJ U024D,142C7,U+142C7,U24D,U24D,U-09-064,"A drill, with a half-circle handle, with a vertical line on top, with a curl towards the front on top of the handle, with a round drill-bit, with a horizontal line on top of the round drill-bit.",Logogram (to open),C
U024H,142C8,U+142C8,U24G,U24h,U-09-068,"A drill, with a half-circle handle, with two lines on top, in a V shape, with a forked drill-bit.",Phonemogram,C
HJ U074,142C9,U+142C9,U74,U74,U-09-071,"A drill, with a half-circle handle, with a feather (H6) on top, with a round drill-bit with a horizontal line on top of the circle, with a short vertical stroke next to the drill, connected to the handle.",Logogram (craftsman),C
