gardiner_code,unicode_cp,unicode,hieroglyphica_code,jsesh_code,category,description,function,core
A001,13000,U+13000,A1,A1,A-01-001,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,C
A002,13001,U+13001,A2,A2,A-01-027,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,C
A003,13002,U+13002,A3,A3,A-01-005,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",Classifier sitting,C
A004,13003,U+13003,A4,A4,A-01-040,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",Classifier supplication/hiding/rejection,C
A005,13004,U+13004,A5,A5,A-11-002,,,C
A005A,13005,U+13005,A5A,A5A,A-11-003,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",Logogram (to hide),C
A006,13006,U+13006,A6,A6,A-09-001,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.","Logogram (pure, clean)",C
A006A,13007,U+13007,,,A-09-011,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",Classifier to libate,C
A006B,13008,U+13008,,US1A6BEXTU,A-09-005,,,C
A007,13009,U+13009,A7,A7,A-01-036,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",Classifier sitting/weak/faint,C
A008,1300A,U+1300A,,A8,A-01-059,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier joy/veneration,C
A009,1300B,U+1300B,A9,A9,A-07-021,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.","Classifier to lift, to carry",C
A010,1300C,U+1300C,A10,A10,A-12-042,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,C
A011,1300D,U+1300D,A11,A11,A-07-041,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,C
A012,1300E,U+1300E,A12,A12,A-17-003,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),C
A013,1300F,U+1300F,A13,A13,A-18-001,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,C
A014,13010,U+13010,A14,A14,A-18-081,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",C
A014A,13011,U+13011,,A14A,A-18-074,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,C
A015,13012,U+13012,A15,A15,A-05-004,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),C
A016,13013,U+13013,A16,A16,A-04-005,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,C
A017,13014,U+13014,A17,A17,A-23-002,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,C
A017A,13015,U+13015,,A17A,A-23-007,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",Classifier youth/child,C
A018,13016,U+13016,A18,A18,A-23-030,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),C
A019,13017,U+13017,,A19,A-06-017,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.","Logogram (old, old age)",C
A020,13018,U+13018,A20,A20,A-06-009,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),C
A021,13019,U+13019,A21,A21,A-06-005,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,C
A022,1301A,U+1301A,A22,A22,A-06-037,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,C
A023,1301B,U+1301B,A23,A23,A-27-024,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,C
A024,1301C,U+1301C,A24,A24,A-16-021,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,C
A025,1301D,U+1301D,A25,A25,A-16-039,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",Classifier force/effort,C
A026,1301E,U+1301E,A26,A26,A-02-020,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",Logogram (vocative interjection),C
A027,1301F,U+1301F,A27,A27,A-02-041,"Man, running, right arm raised in front, left arm in front of the body.",Phonemogram/classifier messenger,C
A028,13020,U+13020,A28,A28,A-02-044,"Man, standing, with arms raised at either side of the body, hand palms inwards.",Logogram (to be high),C
A029,13021,U+13021,A29,A29,A-03-001,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",Classifier upside-down,C
A030,13022,U+13022,A30,A30,A-04-001,"Man, standing, both arms raised in front, hands held vertically, hand palms outwards.",Classifier adoration,C
A031,13023,U+13023,A31,A31,A-02-030,"Man, standing, head facing forwards, arms raised behind him, hand palms outwards.",Classifier turning away,C
A032,13024,U+13024,A32,A32,A-19-011,"Man, dancing, left leg straight, right knee in front of the left leg, right foot behind the left leg, toes at the height of the left foot, right arm in front of the body, left arm raised at the back, hand at the height of the head.",Classifier dancing,C
A032A,13025,U+13025,,,A-19-014,,,C
A033,13026,U+13026,A33,A33,A-14-011,"Man, standing, bent forwards, both arms forward, holding a stick with a bundle or a mat over his shoulders, bundle behind the back.",Classifier wandering/displaced,C
A034,13027,U+13027,A34,A34,A-12-019,"Man, standing, back slightly bent forwards, both arms forward, holding a long stick (rammer), which ends at the bottom in a mortar.","Logogram (to pound, to build)",C
A035,13028,U+13028,A35,A35,A-12-023,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",Logogram (to build),C
A036,13029,U+13029,A36,A36,A-12-008,"Man, standing, back bent forwards, both arms forwards, extending downwards into a large vessel.",Logogram (brewer),C
A037,1302A,U+1302A,A37,A37,A-12-045,"Man, standing inside a cross-section of a vessel that reaches to his shoulders, arms extended at either side of the body, holding the rim of the vessel.",Logogram (brewer),C
A038,1302B,U+1302B,A38,A38,A-21-002,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man. ",Logogram (Cusae),C
A039,1302C,U+1302C,A39,A39,A-21-001,"Man, standing on the back of two animals, which look either way, man arms extended at either side of the body, holding both heads of the animals.",Logogram (Cusae),C
A040,1302D,U+1302D,,A40,A-26-005,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig.",Classifier divinity,C
A040A,1302E,U+1302E,A40A,A40A,A-26-013,"God, seated, both knees up, with covered legs and arms, with a long-curved beard and long wig, holding a holding a sceptre with a straight shaft, topped with the head of the Seth animal.",Classifier divinity,C
A041,1302F,U+1302F,A41,A41,A-26-008,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus.",Logogram (first person singular),C
A042,13030,U+13030,A42,A42,A-26-019,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45).",Classifier king,C
A042A,13031,U+13031,A42B,A42B,A-26-029,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing a coif with uraeus, holding a flagellum (S45) and crook (S38) with the opening inwards.",Logogram (first person singular),C
A043,13032,U+13032,,A43,A-28-002,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown with uraeus (S1A).",Classifier king,C
A043A,13033,U+13033,A43M,A43M,A-28-017,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the white crown (S1), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (king of Upper Egypt),C
A044,13034,U+13034,A44,A44,A-28-010,"King, seated, both knees up, with covered legs and arms, without beard, wearing the white crown with uraeus (S1A), holding a flagellum (S45).",Classifier king,C
A045,13035,U+13035,A45,A45,A-29-001,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3).",Classifier king,C
A045A,13036,U+13036,A45B,A45B,A-29-007,"King, seated, both knees up, with covered legs and arms, with a long straight beard, wearing the red crown with (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Classifier king,C
A046,13037,U+13037,A46,A46,A-29-004,"God, seated, both knees up, with covered legs and arms, with a long-curved beard, wearing the red crown with (S3), holding a flagellum (S45).",Classifier king,C
A047,13038,U+13038,A47,A47,A-13-004,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",Logogram (to guard),C
A048,13039,U+13039,,A48,A-13-030,"Man, seated, both knees up, with covered legs and arms, with short hair/wig, holding an unknown object (mace/knife/stick?)","Logogram (relating to, belonging to)",C
A049,1303A,U+1303A,,A49,A-13-032,"Man, seated, both knees up, with covered legs and arms, with a short bushy beard and short hair/wig, holding a stick which angles slightly towards the body.",Classifier foreigner,C
A050,1303B,U+1303B,A50,A50,A-25-032,"Man, with short straight beard, seated on a chair, no arms visible.",Logogram (to be noble),C
A051,1303C,U+1303C,A51,A51,A-25-005,"Man, with a short straight beard, seated on a chair, both arms extended forward, forearms horizontal, one above another, holding a flagellum (S45).",Logogram (to be noble),C
A052,1303D,U+1303D,A52,A52,A-31-001,"Man, seated, both knees down, with short straight beard, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",Classifier name (deceased person),C
A053,1303E,U+1303E,A53,A53,A-32-001,"A mummy with a long-curved beard, standing upright.",Classifier image/statue/likeness,C
A054,1303F,U+1303F,A54,A54,A-32-007,"A mummy with a long-curved beard, lying horizontally.",Classifier body/corpse/death,C
A055,13040,U+13040,A55,A55,A-32-008,"A mummy with a long-curved beard, lying horizontally on top of a bed.",Logogram (to sleep/to spend the night),C
A056,13041,U+13041,A56,A56,A-12-047,"Man, seated, right knee raised, right arm raised in front, left arm in front of body, holding a stick which rests against the left shoulder. ",Classifier enemy,C
A057,13042,U+13042,A57,A57,A-29-029,"King, standing, with a long straight beard, wearing the red crown (S3), both arms forwards, hands at the height of the belly/waist, holding a loaf of bread on a reed mat (R4) horizontally.",Logogram (an offering that the king gives),C
A058,13043,U+13043,A58,A58,A-12-012,"Man, standing, back bent forward, both arms toward the front, holding a hoe with a rope connecting the two pieces (U6), with the forward piece at the level of the feet.",Classifier hacking,C
A059,13044,U+13044,A59,A59,A-16-029,"Man, standing, right arm forward, forearm and hand at the level of the waist, left arm raised, forearm vertically, holding a stick nearly horizontally.",Classifier driving away,C
A060,13045,U+13045,A60,A60,A-10-013,"Man, standing, right arm forward, forearm horizontal, hand palm upwards, left arm backwards, upper arm horizontal, forearm nearly vertical, hand palm inwards, with a dotted line running between the hand palms.","Logogram (to sprinkle, to scatter)",C
A061,13046,U+13046,A61,A61,A-02-033,"Man, standing, head oriented backwards, with the arms hanging at either side of the body.",Logogram (to turn back),C
A062,13047,U+13047,,,A-02-004,"Foreign man, with a bushy beard, standing, wearing a long dress, with the arms hanging at either side of the body.","Logogram (great one, chief)",C
A063,13048,U+13048,A63,A63,A-25-025,,,C
A064,13049,U+13049,A116,A116,A-07-006,"Man, seated on heel, both knees down, back straight, arm extended in front, forearm horizontal, holding a wide cup (W10). ","Classifier to lift, to carry",C
A065,1304A,U+1304A,A469,A469,A-27-023,"Stylistic early dynastic form of a man, standing, holding a stick.",Logogram (the one who belongs to the god),C
A066,1304B,U+1304B,,A239,A-20-001,"Man, standing, wearing kilt, right arm extended in front, held horizontally, holding a sistrum (Y18), left arm hanging beside the body.",Logogram (the musician/Ihy),C
A067,1304C,U+1304C,,,A-24-001,"A dwarf, standing, arms hanging at either side of the body.",Classifier personal name,C
A068,1304D,U+1304D,A199A,A199A,A-16-009,"Man, standing, right arm forward, forearm horizontal at the height of the waist, holding a knife (T30) at a forward angle, left arm hanging beside the body.",Logogram (messenger),C
A069,1304E,U+1304E,A71,A71,A-01-008,"Man, seated, right knee raised, right arm raised, left arm hanging beside the body.",Classifier occupation/relationship,C
A070,1304F,U+1304F,A73,A73,C-13-001,"Man, seated, right knee raised, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",C
B001,13050,U+13050,B1,B1,B-01-003,"Woman, seated, both knees up, with covered legs and arms, with long hair.",Classifier female,C
B002,13051,U+13051,B2,B2,B-09-002,"Woman, pregnant, seated, both knees down, with a band of cloth around the head, right arm forward, angling down towards the knee, left arm hanging beside the body.",Classifier pregnant,C
B003,13052,U+13052,B3,B3,B-09-011,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with the head and arms of a child coming from the legs.",Classifier birth,C
B004,13053,U+13053,B4,B4,B-09-004,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with three vertical lines coming from the legs.",Classifier birth,C
B005,13054,U+13054,B5,B5,B-09-014,"Woman, seated, both knees down, nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.","Classifier nursing, rearing",C
B005A,13055,U+13055,,B104,B-02-010,"Woman, seated, both knees down, with long hair and a band of cloth around the head, bound at the back, with two sticks forming a cross-like structure over the legs.",Logogram weaver or nurse,C
B006,13056,U+13056,B6,B6,B-09-020,"Woman, seated on a block throne, with a child on her lap, facing her, both arms down; both arms forward, right arm behind the child, left arm in front of the child.","Classifier nursing, rearing",C
B007,13057,U+13057,B7,B7,B-01-022,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flower which curves forward, with the flower orientated downwards.",Classifier female royalty,C
B008,13058,U+13058,B8,B8,B-02-002,"Woman, seated, both knees down, no arms visible, with a flower on the knee, which curves towards the face, with the flower in front of the face.",Classifier human being (together with A1),C
B009,13059,U+13059,B47,B47,B-08-005,"Woman, standing, with long hair, right arm extended forward, hand at the height of the shoulder, holding a sistrum (Y18), vertically, left arm hanging beside the body.",Logogram (the musician),C
C001,1305A,U+1305A,C1,C1,C-24-002,"God, seated, knees up, with covered legs and arms, with a long-curved beard and long wig/hair, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on its head.",Logogram (Re),C
C002,1305B,U+1305B,C2,C2,C-09-029,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Re),C
C002A,1305C,U+1305C,C2A,C2A,C-09-017,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a sun disk (N5) on its head.",Logogram (Re),C
C002B,1305D,U+1305D,,,C-09-018,,,L
C002C,1305E,U+1305E,,,C-09-030,,,L
C003,1305F,U+1305F,C3,C3,C-31-001,"God, seated, knees up, with covered legs and arms, with the head of an ibis.",Logogram (Thot),C
C004,13060,U+13060,C4,C4,C-15-001,"God, seated, knees up, with covered legs and arms, with the head of a ram, with horizontal twisted horns.",Classifier Khnum,C
C005,13061,U+13061,C5,C5,C-15-007,"God, seated, knees up, with covered legs and arms, with the head of a ram with horizontal twisted horns, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram/phonemogram (who joins with life),C
C006,13062,U+13062,C6,C6,C-04-001,"God, seated, knees up, with covered legs and arms, with the head of a jackal.",Classifier Anubis/Wepwawet (divinity),C
C007,13063,U+13063,C7,C7,C-26-001,"God, seated, knees up, with covered legs and arms, with the head of a Seth animal.",Logogram (Seth),C
C008,13064,U+13064,C8,C8,C-17-001,"An ithyphallic god, with long, curved beard, standing on a platform, wearing a double plume headdress, with a line coming from the back of the head, running down to the base, arm raised in back, with a flagellum (S45) written over the arm.",Classifier Min,C
C009,13065,U+13065,C9,,C-35-002,"Goddess, seated, knees up, with covered legs and arms, with a headdress of bovine horns with a sun disk (F102).",Logogram (Hathor),C
C010,13066,U+13066,C10,C10,C-37-002,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head.",Logogram (Maat),C
C010A,13067,U+13067,C10A,C10A,C-37-005,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head, holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Maat),C
C011,13068,U+13068,,C11,C-13-004,"God, seated on heel, right knee raised, with long-curved beard and coif, with a palm branch, stripped of leaves and notched on his head (M4), notch forward, raised arms at either side of the body, hands held vertically, with the hand palms inwards.","Logogram (million, many)",C
C012,13069,U+13069,C12,C12,C-03-003,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically.",Logogram (Amon),C
C013,1306A,U+1306A,,,C-03-010,,,L
C014,1306B,U+1306B,C12F,C12F,C-03-011,"God, seated, knees up, with covered legs and arms, with a long-curved beard, wearing the double-plume headdress (S72A), with a line running from the crown down the back, holding a khopesh sword (T16A) vertically.",Logogram (Amon is his strength (sꜣ-rꜥ name Ramses VI)),C
C015,1306C,U+1306C,,,C-03-013,,,L
C016,1306D,U+1306D,,,A-30-004,"God, seated, both knees up, with covered legs and arms, with a long, curved beard, wearing the double crown (S5), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Logogram (Atum),C
C017,1306E,U+1306E,C17,C17,C-09-078,"God, seated, knees up, with covered legs and arms, with the head of a falcon, wearing a headdress consisting of two plumes with a sun disk (S63A/S70), holding a tie or strap, used with sandals (ankh sign, S34), angling forward. ",Classifier Montu (divinity),C
C018,1306F,U+1306F,,,C-30-002,"God, seated, both knees down, with a long-curved beard and long hair/wig, wearing a headdress consisting of two feathers on ram horns (S77).",Classifier Tatenen,C
C019,13070,U+13070,C19,C19,C-23-016,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom and head of the Seth animal (S40) of the same size as the god, vertically.",Classifier Ptah,C
C020,13071,U+13071,C20,C20,C-23-023,"God, in mummy form, standing upright on a platform, with a long straight beard, wearing a cap, both arms forward, holding a sceptre with a straight shaft, forked bottom, and the vertically oriented head of the Seth animal (S040), of the same size as the god, adorned with an ankh sign (S034) and a djed pillar (R011); enclosed within a shrine supported by columns resembling papyrus stems with buds (M013).",Logogram (Ptah),C
C021,13072,U+13072,C33,C33,C-07-001,"Bes figure, seen from the front, with tail between the legs and headdress, arms downwards, hands behind the back.",Phonemogram,C
C022,13073,U+13073,C49B,C49B,C-09-086,"God, seated, knees up, with covered legs and arms, with the head of a falcon, with a crescent moon with the entire moon disk (N62) on its head.",Classifier moon,C
C023,13074,U+13074,C165,C165,C-36-015,"Goddess, seated, knees up, with covered legs and arms, with the head of a lion/lioness, with N6 (The sun, encircled by a cobra (Naja haje), standing up, with expanded hood (uraeus)) on her head.",Logogram (Sekhmet),C
C024,13075,U+13075,C185B,C185B,C-40-006,"Goddess, seated, knees up, with covered legs and arms, wearing the red crown (S3), holding a sceptre with a straight shaft, topped with the head of the Seth animal vertically. ",Logogram (Neith),C
D001,13076,U+13076,D1,D1,D-01-001,"The head of a human man, seen in profile, with a short straight beard.",Logogram (head),C
D002,13077,U+13077,D2,D2,D-02-001,The face of a human man.,Phonemogram,C
D003,13078,U+13078,D3,D3,D-04-004,A lock of hair with three strands.,Classifier hair,C
D004,13079,U+13079,D4,D4,D-05-001,An eye.,Phonemogram,C
D005,1307A,U+1307A,D5,D5,D-06-007,An eye with two touches of eye paint above the eye.,Classifier eye related actions,C
D006,1307B,U+1307B,D6,D6,D-06-001,"An eye, with a line of eye-paint above the eye.",Classifier eye related actions,C
D007,1307C,U+1307C,D7,D7,D-06-020,An eye with a painted lower lid.,Phonemogram,C
D008,1307D,U+1307D,D8,D8,D-06-026,"An eye, written inside an oval.",Phonemogram,C
D008A,1307E,U+1307E,D8A,D8A,D-06-030,An eye with a painted lower lid inside an oval.,Phonemogram,C
D009,1307F,U+1307F,D9,D9,D-07-001,"An eye, with three lines coming from the bottom.",Logogram (to weep),C
D010,13080,U+13080,D10,D10,D-08-002,"An eye, with the markings of the head of a falcon.",Logogram (udjat eye),C
D011,13081,U+13081,D11,D11,D-09-001,The left part of the white of an eye.,Logogram 1/2,C
D012,13082,U+13082,D12,D12,D-09-002,The pupil of an eye.,Classifier pupil,C
D013,13083,U+13083,D13,D13,D-09-005,An eyebrow.,Classifier eyebrow,C
D014,13084,U+13084,D14,D14,D-09-009,The right part of the white of an eye.,Logogram 1/16,C
D015,13085,U+13085,D15,D15,D-09-010,The right lower marking of an udjat eye.,Logogram 1/32,C
D016,13086,U+13086,D16,D16,D-09-011,The left lower marking of an udjat eye.,Logogram 1/64,C
D017,13087,U+13087,D17,D17,D-09-012,The left and right lower marking of an udjat eye.,"Logogram (figure, image)",C
D018,13088,U+13088,D18,D18,D-10-001,The ear of a human.,Logogram (ear),C
D019,13089,U+13089,D19,D19,D-11-001,"The nose, eye and cheek of a human.",Classifier nose,C
D020,1308A,U+1308A,D20,D20,D-11-002,"The nose, eye and cheek of a human, written in a semi-cursive fashion.",Classifier nose,C
D021,1308B,U+1308B,D21,D21,D-12-001,A mouth.,Phonemogram,C
D022,1308C,U+1308C,D22,D22,D-12-004,A mouth with two vertical lines at the bottom of the sign.,Logogram (2/3),C
D023,1308D,U+1308D,D23,D23,D-12-015,A mouth with three vertical lines at the bottom of the sign,Logogram (3/4),C
D024,1308E,U+1308E,D24,D24,D-13-001,The upper lip of a human with teeth.,"Classifier lip, border, edge",C
D025,1308F,U+1308F,D25,D25,D-13-004,"The upper and lower lips of a human, with teeth.",Logogram (lips),C
D026,13090,U+13090,D26,D26,D-14-005,"A human mouth, seen from the side, with a wavy downward sloping line coming from the lips.",Classifier blood,C
D027,13091,U+13091,D27,D27,D-16-002,A human breast.,Classifier breast,C
D027A,13092,U+13092,D27A,D27A,D-16-001,A human breast.,,L
D028,13093,U+13093,D28,D28,D-18-001,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards.","Logogram (spirit, essence)",C
D029,13094,U+13094,D29,D29,D-18-008,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, on top of a standard used for carrying religious symbols (R12).","Logogram (spirit, essence)",C
D030,13095,U+13095,D30,D30,D-18-009,"Two arms, raised, with the palms of the hands towards each other, written on it side, with a downward curving line at the back.",Classifier Nehebkau,C
D031,13096,U+13096,D31,D31,D-19-012,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other (D32), with a club used by washermen for beating laundry (U36) written between the arms.",Logogram (mortuary priest),C
D031A,13097,U+13097,,D31A,D-18-072,"Two arms, raised upwards, with the forearms and hands vertical, hand palms inwards, with a club used by washermen for beating laundry (U36), written between the arms.",Logogram (mortuary priest),L
D032,13098,U+13098,D32,D32,D-19-001,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing each other.","Classifier enveloping, embracing, uniting",C
D033,13099,U+13099,D33,D33,D-20-002,"Two arms, holding an oar, in a rowing motion, below a cover.",Phonemogram,C
D034,1309A,U+1309A,D34,,D-21-007,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a shield as seen in profile, top curving inwards, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",Logogram (to fight),C
D034A,1309B,U+1309B,D34A,D34A,D-21-002,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a rectangular shield with inward curving sides, the other arm downwards, forearm vertical, holding a mace (T3) horizontally.",Logogram (to fight),C
D035,1309C,U+1309C,D35,D35,D-22-002,"Two arms, connected at the shoulders, spread sideways, forearms horizontal, with the palms of the hands facing upwards",Logogram (negative particle),C
D036,1309D,U+1309D,D36,D36,D-23-001,"A forearm, with the palm of the hand facing upwards.",Phonemogram,C
D037,1309E,U+1309E,D37,D37,D-24-002,A forearm with the hand holding a conical loaf of bread (X8).,Phonemogram,C
D038,1309F,U+1309F,D38,D38,D-24-004,"A forearm with the hand holding a loaf of bread, without internal detail (X3).",Phonemogram,C
D039,130A0,U+130A0,D39,D39,D-24-007,A forearm with the hand holding a round vessel with an upstanding rim (W24).,"Logogram (to offer, to present)",C
D040,130A1,U+130A1,D40,D40,D-25-001,A forearm with the hand holding a stick.,"Classifier force, effort",C
D041,130A2,U+130A2,D41,D41,D-25-014,"A forearm, with the palm of the hand downwards, with the upper arm bent forwards.",Classifier arm related movements or actions,C
D042,130A3,U+130A3,D42,D42,D-25-017,"A forearm, with the palm of the hand downwards, upper arm vertical.",Logogram (cubit),C
D043,130A4,U+130A4,D43,D43,D-25-021,A forearm with the hand holding a flagellum (S45).,Logogram (to protect),C
D044,130A5,U+130A5,D44,D44,D-25-007,A forearm with the hand holding a sceptre (S42).,Classifier governing/controlling,C
D045,130A6,U+130A6,D45,D45,D-26-011,"An arm, bent at the elbow, forearm nearly horizontal, holding a wand or brush.",Logogram (to make holy),C
D046,130A7,U+130A7,D46,D46,D-28-001,A human hand.,Phonemogram,C
D046A,130A8,U+130A8,D46C,D46C,D-28-009,A human hand with a forward downward line coming from the thumb.,"Logogram (scent, perfume, dew)",C
D047,130A9,U+130A9,D47,D47,D-28-016,A human hand with the thumb upwards and the palm curved upwards.,Classifier hand,C
D048,130AA,U+130AA,D48,D48,D-28-028,A human hand without a thumb.,Logogram (palm),C
D048A,130AB,U+130AB,,D48A,D-28-027,"A human hand, holding an oval.",Phono-repeater,C
D049,130AC,U+130AC,D49,D49,D-29-001,"A human hand, held as a fist, with the thumb on top.",Classifier grasping/holding,C
D050,130AD,U+130AD,D50,D50,D-30-001,A vertical human finger.,Logogram (finger),C
D050A,130AE,U+130AE,,,D-30-008,,\20000,C
D050B,130AF,U+130AF,,,D-30-009,,\30000,C
D050C,130B0,U+130B0,,,D-30-010,,\40000,C
D050D,130B1,U+130B1,,,D-30-011,,\50000,C
D050E,130B2,U+130B2,,,D-30-012,,\60000,C
D050F,130B3,U+130B3,,,D-30-013,,\70000,C
D050G,130B4,U+130B4,,,D-30-014,,\80000,C
D050H,130B5,U+130B5,,,D-30-015,,\90000,C
D050I,130B6,U+130B6,,,D-30-016,,\50000,C
D051,130B7,U+130B7,D51,D51,D-30-006,A horizontal human finger.,Classifier taking,C
D052,130B8,U+130B8,D52,D52,D-31-001,A phallus with a scrotum.,Phonemogram,C
D052A,130B9,U+130B9,,S125,S-15-047,"A phallus with a scrotum (D52), written over a folded piece of cloth (S29).",Phonemogram,L
D053,130BA,U+130BA,D53,D53,D-31-007,"A phallus with a scrotum, with a line of liquid issuing from it.",Phonemogram,C
D054,130BB,U+130BB,D54,D54,D-34-001,"Legs in a walking posture, feet orientated towards the reading direction.",Classifier movement,C
D054A,130BC,U+130BC,,D54A,D-34-013,"Legs in a walking posture, feet orientated towards the reading direction, with a hook added to the front leg.",Logogram (to come),C
D055,130BD,U+130BD,D55,D55,D-34-002,"Legs in a walking posture, feet orientated away from the reading direction.",Classifier reverse movement,C
D056,130BE,U+130BE,D56,D56,D-35-001,A leg with a bent knee.,Classifier leg/foot,C
