image_id,component_count,relation_count
hiero_0660,1,0
hiero_0661,3,3
hiero_0662,1,0
hiero_0663,7,21
hiero_0664,1,0
hiero_0665,1,0
hiero_0666,5,10
hiero_0667,1,0
hiero_0668,1,0
hiero_0669,1,0
hiero_0670,1,0
hiero_0671,1,0
hiero_0672,1,0
hiero_0673,1,0
hiero_0674,1,0
hiero_0675,1,0
hiero_0676,1,0
hiero_0677,1,0
hiero_0678,1,0
hiero_0679,1,0
hiero_0680,1,0
hiero_0681,1,0
hiero_0682,1,0
hiero_0683,2,1
hiero_0684,2,1
hiero_0685,1,0
hiero_0686,2,1
hiero_0687,1,0
hiero_0688,1,0
hiero_0689,1,0
hiero_0690,2,1
hiero_0691,1,0
hiero_0692,1,0
hiero_0693,2,1
hiero_0694,1,0
hiero_0695,1,0
hiero_0696,1,0
hiero_0697,1,0
hiero_0698,1,0
hiero_0699,1,0
hiero_0700,1,0
hiero_0701,1,0
hiero_0702,2,1
hiero_0703,1,0
hiero_0704,1,0
hiero_0705,1,0
hiero_0706,1,0
hiero_0707,1,0
hiero_0708,1,0
hiero_0709,1,0
hiero_0710,1,0
hiero_0711,1,0
hiero_0712,3,3
hiero_0713,1,0
hiero_0714,1,0
hiero_0715,1,0
hiero_0716,1,0
hiero_0717,1,0
hiero_0718,1,0
hiero_0719,1,0
hiero_0720,1,0
hiero_0721,1,0
hiero_0722,1,0
hiero_0723,2,1
hiero_0724,1,0
hiero_0725,2,1
hiero_0726,1,0
hiero_0727,1,0
hiero_0728,3,3
hiero_0729,1,0
hiero_0730,1,0
hiero_0731,1,0
hiero_0732,1,0
hiero_0733,1,0
hiero_0734,2,1
hiero_0735,2,1
hiero_0736,2,1
hiero_0737,1,0
hiero_0738,2,1
hiero_0739,1,0
hiero_0740,1,0
hiero_0741,1,0
hiero_0742,1,0
hiero_0743,1,0
hiero_0744,1,0
hiero_0745,1,0
hiero_0746,2,1
hiero_0747,2,1
hiero_0748,1,0
hiero_0749,1,0
hiero_0750,1,0
hiero_0751,1,0
hiero_0752,1,0
hiero_0753,1,0
hiero_0754,1,0
hiero_0755,2,1
hiero_0756,2,1
