value,count
1.0,534
2.0,224
3.0,127
4.0,60
5.0,43
6.0,30
7.0,17
8.0,12
9.0,8
10.0,3
11.0,4
12.0,3
13.0,1
14.0,2
16.0,1
20.0,1
21.0,1
23.0,1
